3570 120
28 109 88
5 99 16
12 50 90
58 65 40
70 96 94
26 84 40
40 112 44
10 65 7
36 69 90
6 100 7
6 62 7
50 111 34
41 118 45
21 117 80
59 72 67
11 103 52
60 112 81
92 109 45
3 104 79
3 73 58
4 74 89
37 81 85
2 40 84
6 52 94
8 19 84
45 91 84
80 97 36
61 89 24
39 43 92
66 99 85
48 90 88
56 68 76
5 67 59
23 44 77
76 85 58
20 39 30
10 16 73
7 60 15
35 95 92
10 108 86
1 33 40
73 83 50
86 96 82
3 38 2
18 50 23
30 105 29
106 110 16
2 97 66
9 72 99
48 118 18
56 100 96
58 85 56
59 84 85
17 65 49
10 99 70
11 68 55
64 98 70
35 40 26
69 70 8
3 36 29
8 74 37
49 100 2
76 107 24
28 74 49
30 63 26
7 94 5
31 78 50
44 107 86
42 100 8
0 49 38
9 12 54
12 39 10
1 101 45
77 109 1
60 94 51
4 40 48
6 101 9
91 113 24
11 34 2
0 72 88
66 72 82
4 99 35
1 75 41
117 119 31
12 56 38
89 114 78
64 78 93
7 58 53
51 53 41
28 43 68
63 88 52
45 81 83
33 86 31
44 77 6
68 75 84
37 82 81
29 118 45
37 51 91
41 98 98
45 74 93
100 114 74
94 119 91
6 16 33
8 80 4
76 84 29
62 89 43
13 86 30
63 106 1
53 67 62
35 60 62
42 103 96
17 54 78
71 97 58
26 50 100
5 48 47
1 45 72
38 48 41
13 38 12
77 116 18
83 119 44
1 114 78
7 109 16
69 83 38
51 99 27
104 113 33
103 110 95
74 92 9
26 67 40
48 107 64
2 68 84
37 118 97
34 49 43
44 93 14
28 118 52
58 69 44
55 116 47
52 68 54
52 112 64
70 117 52
56 61 13
50 57 51
2 88 76
9 25 51
77 112 8
0 119 91
25 89 5
36 57 4
45 109 55
108 113 35
44 110 80
42 108 86
19 67 59
53 105 6
34 77 91
59 101 42
42 78 13
66 108 25
45 107 6
83 107 74
81 84 41
20 58 94
40 80 89
65 112 63
1 106 64
25 85 43
5 31 79
10 12 25
70 110 47
7 35 33
1 83 21
40 81 81
24 84 69
67 109 98
22 42 21
30 66 23
48 113 79
63 102 29
23 72 28
57 99 40
40 111 84
2 106 30
79 111 29
62 73 14
7 88 54
45 69 69
87 119 62
58 111 37
36 54 82
25 88 76
86 98 63
68 72 4
20 103 72
47 83 12
35 109 83
51 82 74
11 55 45
18 40 62
6 80 29
30 109 62
64 66 27
40 96 25
23 48 78
31 56 5
105 112 4
42 50 17
5 51 79
37 50 50
43 102 80
42 116 1
39 90 70
26 114 8
22 94 25
55 65 91
14 65 59
15 116 2
0 32 47
103 104 47
27 70 68
38 85 96
88 109 100
83 92 89
15 87 80
39 56 33
29 50 64
78 87 59
16 20 12
4 60 1
54 115 86
29 63 92
3 91 12
92 112 80
41 86 44
79 104 25
48 106 91
52 91 98
8 75 91
58 117 53
6 30 46
67 84 71
31 103 5
34 115 53
71 108 80
51 113 18
73 119 29
7 11 49
50 77 89
60 76 24
75 92 94
9 57 99
30 115 94
20 89 6
57 105 22
56 75 23
8 54 66
37 75 84
47 88 11
2 67 61
48 110 20
5 7 28
38 97 75
20 51 3
80 110 77
22 41 44
108 114 47
68 70 64
22 78 15
22 35 3
75 117 57
13 41 55
10 13 52
62 94 89
38 57 2
100 101 76
27 44 35
40 115 91
33 74 59
22 77 50
79 115 32
58 79 30
19 72 52
52 107 93
0 78 35
23 46 61
5 109 7
37 97 67
1 107 71
41 78 15
10 95 74
6 86 81
76 77 59
9 67 37
23 71 45
49 118 69
52 101 90
26 45 8
58 84 2
18 100 99
66 113 64
24 63 28
35 38 69
4 77 63
12 109 18
21 81 79
35 114 42
83 90 51
51 86 68
4 10 27
52 70 65
48 97 2
24 39 56
36 81 88
48 114 78
76 101 58
60 105 1
19 35 72
4 38 27
9 64 57
34 104 12
15 62 76
79 87 46
93 117 11
8 11 8
97 107 25
30 119 12
10 66 18
9 112 28
3 116 15
23 53 19
51 118 25
55 106 58
74 81 12
50 51 99
8 51 89
25 117 56
61 85 25
28 45 3
33 81 62
18 65 98
45 94 40
0 59 91
36 80 71
33 88 67
89 100 64
51 107 60
4 28 6
13 79 72
38 108 85
30 56 100
16 26 71
19 63 1
37 109 95
3 107 43
61 77 63
76 97 76
25 65 40
83 98 16
20 87 37
5 116 50
