772 40
13 23 40
8 14 70
13 19 89
1 33 74
0 1 33
6 21 4
2 10 84
2 38 81
29 36 68
9 34 88
1 15 17
9 39 96
30 38 16
18 24 97
18 29 11
8 17 67
26 39 73
13 17 91
29 33 16
31 37 59
28 36 98
26 36 89
18 36 48
35 38 58
31 33 93
7 33 7
16 38 41
16 19 51
35 37 11
22 30 19
23 34 33
30 39 36
21 22 48
27 35 80
1 11 72
21 39 90
4 35 53
17 33 22
1 22 61
21 23 69
20 29 10
21 24 62
13 22 38
8 25 86
18 23 43
4 8 27
2 19 9
10 28 24
22 33 27
20 25 79
29 34 56
22 32 59
0 25 63
19 26 56
26 29 47
30 34 83
20 31 76
1 6 20
4 27 87
25 32 1
9 28 26
4 18 1
26 38 34
3 9 87
6 19 4
5 20 78
7 25 41
2 16 14
2 24 66
4 26 75
14 16 32
0 17 9
3 32 55
9 25 31
16 20 12
8 27 55
3 27 93
28 31 98
0 34 68
6 10 28
7 10 80
8 36 8
7 16 69
16 32 47
7 32 88
11 33 56
4 7 4
17 23 48
28 32 25
9 11 35
7 8 19
1 37 98
22 38 22
13 35 5
10 18 26
17 24 11
15 24 32
18 37 51
17 28 80
16 35 71
0 27 21
23 30 48
7 30 22
0 32 88
18 22 16
2 33 65
31 32 72
3 26 9
2 23 100
8 24 99
11 22 20
16 37 13
11 38 28
20 34 42
10 37 43
10 14 57
23 33 91
7 11 82
16 31 6
2 34 69
22 39 20
10 31 35
11 21 58
11 37 38
18 38 19
2 39 69
7 34 30
3 39 13
3 37 78
16 34 92
7 35 60
7 9 87
5 6 39
13 14 33
27 32 94
32 35 81
14 17 25
25 37 58
7 12 25
24 30 87
8 15 70
23 26 78
5 24 26
10 26 25
26 30 19
20 23 86
1 26 85
1 3 15
2 18 90
31 35 5
5 27 24
24 34 38
19 32 25
17 36 42
29 35 71
1 10 75
12 38 51
0 36 10
14 36 32
21 29 41
4 10 7
5 32 21
1 27 42
16 25 92
12 17 83
19 38 47
12 39 48
7 21 87
28 35 73
0 7 76
12 13 11
24 36 8
28 33 40
21 36 59
22 27 50
24 35 64
13 34 20
30 35 78
2 5 58
5 11 27
26 28 8
29 39 100
0 13 41
1 13 59
32 37 18
0 21 10
1 35 14
16 39 34
28 34 80
1 30 19
3 24 42
13 33 13
16 33 39
11 24 27
5 18 76
2 30 25
2 20 90
14 33 77
24 33 78
6 39 10
2 25 33
11 29 72
11 36 56
8 30 26
11 13 68
33 37 53
6 15 48
36 38 46
1 36 10
22 24 61
4 20 25
11 39 33
0 5 40
2 31 67
6 30 69
0 14 66
0 11 5
1 14 60
3 38 12
6 33 47
18 26 36
16 23 27
13 27 80
23 27 69
3 29 85
16 28 37
8 35 27
11 35 62
3 30 48
23 35 69
13 25 94
4 39 62
12 34 92
21 34 32
3 10 62
