2475 100
68 96 78
6 32 54
15 91 22
16 35 93
9 30 40
46 63 7
64 89 22
25 85 51
15 47 88
19 72 33
60 89 32
4 70 60
81 99 96
32 90 98
28 70 54
30 63 100
50 82 48
69 89 12
54 92 37
91 95 27
3 35 90
37 45 10
5 21 95
3 26 54
19 36 30
75 82 41
64 76 70
6 76 15
50 56 32
11 28 54
3 71 50
63 64 1
29 95 80
5 57 75
7 36 27
40 59 20
9 96 52
24 97 94
50 75 84
32 99 67
48 74 32
59 68 8
64 99 45
82 86 2
4 89 43
13 98 2
38 61 54
76 90 29
27 59 76
46 67 63
13 19 23
31 40 74
16 43 43
27 53 70
18 54 39
13 17 85
55 63 76
16 77 41
72 91 98
37 72 74
46 64 29
4 60 13
52 97 44
64 80 22
60 75 50
5 99 4
43 55 20
43 89 47
44 75 55
6 73 65
18 53 94
9 69 82
34 57 70
43 67 15
11 47 38
10 65 3
27 60 95
14 74 76
3 93 47
74 76 23
10 62 3
2 63 34
40 86 69
22 86 36
4 71 10
7 72 81
18 42 18
72 77 99
4 19 25
89 98 8
5 48 65
27 83 83
57 77 86
23 91 7
42 45 41
30 92 57
59 76 61
48 60 10
12 85 82
10 45 36
13 18 43
12 18 72
0 83 27
34 94 49
17 94 85
6 26 49
22 27 61
0 43 60
13 66 1
39 79 53
21 77 74
25 38 81
10 34 28
37 54 67
41 98 18
18 19 82
2 64 64
11 52 18
1 29 30
46 97 32
47 55 21
37 58 11
35 69 2
55 97 59
36 42 24
13 39 68
85 95 76
30 99 16
0 26 99
45 99 84
9 81 21
11 61 36
14 69 4
20 64 80
21 50 49
58 87 26
3 15 43
51 71 51
14 97 36
23 72 22
26 91 51
51 92 21
39 65 83
28 43 22
12 67 76
10 64 41
10 89 54
10 15 71
15 83 7
45 62 29
72 96 40
74 84 88
5 25 37
24 58 9
16 60 56
38 65 96
80 86 72
38 91 65
10 79 82
45 74 82
8 70 19
30 36 75
33 45 98
26 74 82
40 41 53
27 51 95
71 73 89
15 16 68
36 44 14
74 81 3
21 97 74
4 16 60
29 50 37
44 57 32
9 82 76
40 50 34
47 80 20
25 43 81
37 73 10
2 18 37
20 83 67
68 89 17
12 22 32
6 46 4
61 68 29
46 70 40
15 85 87
4 42 14
28 76 41
7 33 27
64 98 74
84 93 4
70 75 97
18 20 35
30 79 20
31 82 21
57 84 5
4 84 75
59 80 46
39 57 62
41 42 67
7 43 79
10 51 90
36 84 39
1 70 88
8 26 63
18 75 81
70 77 1
53 65 6
9 15 73
55 81 6
72 74 93
49 92 5
27 48 22
44 49 11
61 92 34
30 48 63
12 41 53
24 98 76
38 60 91
4 32 95
8 35 52
54 74 90
2 95 43
17 21 18
40 61 35
12 56 95
28 86 14
58 95 13
49 86 80
61 97 75
64 65 46
32 42 43
23 66 58
38 57 85
5 59 3
51 99 51
39 67 54
78 94 64
54 93 61
1 61 83
4 51 86
24 60 61
7 70 82
24 85 100
43 77 2
3 92 20
62 94 74
25 84 47
3 43 43
52 71 100
19 81 92
50 71 55
41 85 99
69 74 34
38 98 66
34 81 6
5 55 29
9 41 59
3 55 61
4 76 87
6 64 30
55 74 89
5 58 71
2 79 89
1 42 61
59 62 28
17 48 35
14 72 66
21 36 67
77 95 68
8 29 49
50 84 44
20 37 95
84 85 4
20 36 60
0 47 77
25 64 83
0 80 24
30 61 91
63 65 30
7 90 39
59 82 4
5 66 97
17 87 94
24 64 81
48 51 95
1 71 33
74 91 37
50 66 12
61 89 34
7 76 91
15 93 49
90 92 59
46 93 37
72 85 12
49 61 78
30 84 93
43 78 72
50 60 38
54 97 45
28 44 16
21 24 82
58 96 59
42 76 65
59 70 69
18 68 73
7 81 46
59 61 42
0 39 73
3 28 68
49 79 43
5 29 46
41 94 66
8 71 9
58 85 91
57 85 64
37 74 65
14 90 100
32 62 40
28 37 52
9 47 56
25 65 74
95 99 1
15 20 38
52 57 31
24 62 86
31 96 74
49 52 87
21 68 97
53 83 28
38 82 29
80 88 11
13 47 44
17 81 97
24 38 41
30 83 91
45 78 83
16 72 29
23 36 13
70 86 33
25 83 1
24 69 31
19 97 63
41 49 82
78 79 70
21 47 96
19 91 46
2 38 40
11 71 91
64 73 55
38 64 91
73 74 22
66 96 56
15 95 33
34 85 6
7 16 88
38 47 11
14 71 29
14 65 44
29 31 97
11 87 48
43 72 86
80 97 7
61 66 17
15 55 68
54 83 78
22 46 96
22 56 46
49 51 36
41 52 51
11 78 62
14 64 43
36 49 67
13 88 63
37 95 26
58 84 93
16 58 68
53 87 53
52 59 18
62 78 84
57 66 11
29 55 14
3 89 24
9 29 94
61 63 7
41 77 23
9 54 16
4 11 24
5 69 11
15 19 23
1 53 21
44 94 67
11 70 65
48 80 9
53 77 71
24 41 40
21 86 74
65 78 71
3 65 14
18 87 41
13 77 64
32 52 10
22 66 24
0 3 86
13 46 52
66 79 29
64 72 56
21 37 49
35 87 97
44 73 77
21 64 38
60 85 77
22 68 56
13 53 27
48 82 39
20 55 64
22 88 49
62 90 56
23 84 74
22 62 97
61 96 33
49 53 15
13 80 44
18 69 62
28 36 84
53 97 27
21 62 69
28 91 96
57 62 78
21 71 72
12 53 95
49 54 49
40 88 39
20 91 30
0 44 75
6 19 20
22 58 84
42 80 73
84 98 59
32 79 1
32 63 66
43 97 63
29 85 87
69 91 37
11 21 69
40 60 18
18 41 5
2 85 66
29 49 11
5 92 27
59 67 82
14 80 97
68 80 97
58 97 14
31 88 4
66 83 49
1 14 9
11 80 81
55 71 81
58 90 37
83 88 22
1 91 22
33 37 71
23 95 22
17 47 57
21 99 9
34 45 66
67 89 4
5 39 49
34 54 57
34 84 10
9 87 13
12 74 73
27 35 72
18 85 12
8 51 38
60 62 19
22 75 25
7 91 17
26 62 65
48 50 30
63 93 23
26 29 78
26 28 64
31 55 77
11 82 14
23 30 21
37 78 57
8 74 77
2 59 22
24 34 61
47 53 7
11 84 35
19 29 2
22 39 10
7 96 100
29 62 67
33 77 83
4 13 50
50 87 22
10 71 62
63 68 13
8 31 38
44 52 49
41 73 74
30 55 85
29 41 91
25 96 83
82 98 80
58 79 44
19 43 81
45 85 77
38 50 100
45 53 94
69 88 57
57 83 75
42 83 15
51 55 59
1 87 83
57 75 14
16 68 40
46 96 53
1 16 94
31 32 48
12 83 54
4 27 47
1 30 16
60 98 70
3 70 96
14 18 62
2 73 85
84 91 58
33 73 71
5 36 16
