95 20
9 17 67
4 7 30
9 14 1
10 19 67
1 7 41
6 15 17
8 18 18
10 11 54
13 17 43
10 18 14
13 14 18
4 9 49
3 17 50
12 17 36
5 18 48
15 16 26
5 6 84
11 18 65
0 16 54
12 16 96
1 14 95
2 14 53
7 16 47
9 19 37
3 16 34
4 11 69
6 19 3
2 15 91
2 9 20
1 12 38
8 19 24
2 5 93
8 15 81
11 14 22
6 8 30
6 10 44
5 15 26
4 19 8
2 17 22
15 18 20
14 16 84
10 12 97
8 9 79
5 14 58
15 19 73
3 11 63
12 15 87
1 18 77
0 1 71
11 19 37
7 19 3
5 9 98
0 6 85
6 18 84
12 13 16
9 11 77
11 15 13
2 10 95
3 5 16
3 4 41
17 19 34
2 12 9
3 19 18
12 14 34
6 9 88
9 12 24
14 15 1
6 13 17
6 16 41
14 19 23
6 7 97
1 3 63
0 7 9
13 19 42
4 18 96
15 17 22
1 17 33
14 17 99
10 14 1
17 18 36
6 14 23
10 16 16
2 7 47
7 11 33
5 13 75
1 11 71
6 11 71
1 6 60
5 7 82
2 8 58
8 10 59
5 11 49
9 13 8
10 15 43
0 12 45
