1785 120
13 37 12
8 103 95
22 46 11
24 60 63
19 112 70
20 33 7
72 78 14
110 112 54
98 113 55
62 98 24
12 119 84
38 47 96
19 29 12
80 89 9
55 110 8
88 106 60
0 10 71
40 72 51
10 59 22
58 75 45
7 71 54
49 87 16
5 16 90
99 108 7
36 119 66
27 95 34
26 84 40
58 67 3
52 95 87
8 40 12
79 107 85
39 84 55
49 95 18
86 118 30
27 42 53
83 88 1
20 31 47
18 35 91
24 65 68
76 92 39
64 114 16
0 35 57
52 106 84
14 63 54
30 68 63
9 19 55
17 102 73
7 109 20
2 21 81
18 22 100
34 111 63
13 35 24
3 109 65
37 115 64
53 88 57
14 77 33
3 82 25
24 43 95
114 116 61
23 26 51
74 89 93
12 40 49
71 104 30
61 87 2
104 115 44
15 62 25
31 114 19
13 36 70
31 59 82
11 112 36
16 63 5
36 89 80
44 104 18
41 61 9
9 40 92
34 84 96
56 65 55
103 117 23
11 39 58
69 82 12
25 43 48
67 100 4
23 115 49
25 83 37
92 94 89
63 101 55
100 112 9
13 61 91
11 51 2
28 37 98
43 105 44
26 65 83
31 58 95
93 96 70
24 108 45
26 34 46
12 24 47
11 111 95
68 104 88
71 81 73
107 117 94
3 31 60
12 45 54
45 97 77
20 79 14
13 30 9
78 84 4
25 36 55
69 84 90
41 114 48
37 108 52
19 83 41
26 80 92
93 117 27
62 109 26
57 69 49
103 114 15
86 89 8
7 112 94
38 59 72
6 102 63
8 69 69
49 69 58
34 93 21
4 12 5
18 50 10
10 24 96
58 111 49
23 51 54
11 95 14
65 106 8
10 55 33
86 119 61
20 95 60
24 51 68
48 66 34
67 89 15
3 35 84
17 96 58
78 111 99
3 92 70
7 99 46
80 90 59
52 76 73
16 54 83
15 116 22
50 115 9
87 119 65
97 101 79
73 109 50
13 75 38
76 77 62
36 102 13
22 77 84
67 78 26
29 93 70
71 111 55
92 93 13
40 119 29
85 115 46
26 108 44
0 73 71
43 61 58
41 75 11
61 71 6
39 104 89
95 118 70
54 72 87
11 94 9
57 67 19
34 68 61
13 105 87
52 107 74
63 94 8
85 89 71
21 63 13
1 68 50
1 18 36
23 102 94
11 37 35
11 17 5
31 38 57
10 72 9
31 106 4
35 56 84
88 98 28
5 26 62
2 92 8
71 107 81
80 81 15
8 18 31
78 108 69
65 101 46
14 93 44
36 66 62
53 95 57
26 66 12
0 39 49
21 55 26
0 47 14
5 85 45
55 85 18
3 17 29
60 66 28
1 38 10
33 89 15
15 26 46
18 29 23
82 91 68
18 107 32
44 55 55
96 102 83
9 50 89
19 47 73
26 106 10
29 89 11
12 63 28
11 66 72
45 67 7
13 78 41
96 117 5
99 107 42
57 80 48
16 33 46
51 119 62
60 87 12
54 86 99
2 73 40
31 82 14
28 62 44
37 57 14
83 96 74
6 119 44
29 56 35
85 117 74
6 9 94
23 75 89
50 55 10
57 82 97
3 13 76
77 97 87
44 119 78
17 107 58
0 118 33
15 18 88
25 62 87
9 79 94
17 30 88
50 99 71
62 85 34
20 114 66
53 70 36
72 89 14
2 37 78
12 42 46
95 96 42
7 87 12
4 23 72
9 25 2
50 68 1
9 47 54
17 27 35
5 114 61
8 77 75
5 12 94
60 69 92
64 89 45
53 101 93
13 19 60
39 42 84
45 56 67
85 105 9
111 116 39
5 25 91
25 112 50
69 108 18
41 97 19
59 101 89
40 50 61
46 85 85
7 51 66
42 60 50
17 90 60
14 18 74
16 118 87
0 49 86
31 118 55
54 80 15
25 44 44
49 118 84
42 53 20
3 23 32
68 72 77
6 65 43
25 27 3
17 118 24
32 82 42
7 80 70
61 63 46
30 87 63
44 102 63
93 114 19
2 63 9
34 86 94
7 43 78
17 88 20
47 98 13
4 36 58
7 21 96
85 91 71
107 116 37
63 100 18
66 109 6
1 81 62
23 27 95
14 59 33
84 88 90
25 26 79
10 74 68
60 84 66
1 12 59
50 98 18
42 104 51
59 99 28
40 74 66
13 26 4
46 56 31
8 96 12
61 76 60
25 92 15
23 58 43
102 107 92
24 57 76
64 90 9
4 42 38
75 86 97
111 113 85
10 99 65
12 68 83
29 48 54
95 107 79
25 64 8
52 74 71
5 40 21
16 19 7
25 81 14
26 49 60
45 81 44
87 117 17
35 86 40
67 72 21
0 99 63
2 59 92
42 99 76
7 96 50
8 65 98
71 92 45
56 106 15
26 73 82
16 47 13
34 47 20
41 68 85
41 88 21
60 83 89
19 99 69
49 54 31
47 96 64
78 118 34
72 116 48
69 91 62
8 74 58
8 67 99
15 105 58
4 86 5
79 108 3
7 81 39
14 58 43
27 28 57
65 85 34
34 82 11
58 92 23
29 119 58
54 78 20
3 60 36
18 55 76
44 80 13
45 64 68
19 117 40
17 109 69
67 82 65
1 59 19
3 39 29
39 66 36
44 61 12
66 80 27
23 89 27
15 110 72
100 113 74
28 74 40
80 104 21
27 94 68
44 60 78
41 76 85
79 87 67
98 110 20
7 24 92
3 103 12
0 97 25
44 85 7
34 101 68
81 97 27
3 108 5
43 104 59
43 70 50
4 75 87
7 12 2
47 94 51
75 88 29
43 78 56
9 42 32
68 70 92
1 34 3
92 98 98
10 42 36
69 72 98
7 113 66
14 57 39
55 83 87
8 38 1
95 99 48
43 74 69
45 103 58
23 73 94
7 20 7
69 115 70
81 110 71
14 106 81
12 113 54
28 116 21
0 42 100
62 94 47
74 100 57
5 41 26
79 103 70
11 76 74
102 105 88
1 83 97
69 103 63
85 101 96
15 24 11
84 119 71
44 70 32
21 93 28
15 93 55
8 10 87
27 114 55
42 46 13
30 99 6
48 89 72
23 97 57
14 119 63
24 95 36
11 100 47
23 31 41
71 74 73
93 111 95
78 100 28
40 116 40
77 99 78
18 58 97
19 48 74
79 110 11
105 119 34
10 52 26
36 46 53
15 118 79
73 105 87
95 116 53
61 80 51
60 92 32
66 104 36
15 36 31
7 84 81
5 100 78
25 71 89
44 69 94
11 109 31
75 90 92
12 44 18
51 91 60
16 34 68
27 75 21
5 57 59
29 101 93
25 47 15
10 101 29
104 108 50
14 56 79
72 106 79
79 94 23
48 63 67
98 114 47
82 97 37
3 98 99
56 59 71
45 100 27
17 81 59
39 109 33
74 79 30
20 55 19
15 39 14
43 94 88
7 50 8
19 64 92
11 113 78
3 65 59
59 109 27
20 38 26
16 51 98
31 100 3
47 86 54
21 94 31
87 108 25
38 53 46
27 61 100
17 26 26
8 70 17
8 86 73
32 112 74
85 102 12
57 59 58
2 81 9
22 119 58
1 85 17
98 105 85
90 100 37
9 86 87
109 118 81
10 37 59
45 87 98
74 96 22
7 70 80
82 118 68
29 58 87
54 94 71
8 64 6
23 66 6
0 116 72
29 108 45
32 33 20
26 59 78
2 109 78
23 69 74
54 65 86
11 118 59
17 32 67
44 59 53
78 102 82
55 69 29
20 22 93
38 112 7
0 84 81
60 109 39
45 101 43
12 76 96
24 105 67
48 88 59
52 97 85
72 93 18
30 83 69
6 109 57
4 41 12
66 105 1
65 105 23
8 78 14
22 97 21
30 52 52
64 74 1
29 64 31
81 102 29
35 98 41
27 45 76
6 96 13
36 113 18
57 91 90
6 31 98
37 48 48
12 94 100
15 115 57
54 110 67
5 34 72
70 113 60
97 99 50
25 113 97
2 25 92
0 63 61
38 66 73
36 84 36
3 83 36
51 72 28
16 88 49
27 97 87
9 34 37
91 108 66
54 88 89
48 55 47
83 105 58
72 97 6
35 51 50
57 85 62
32 95 39
73 96 74
1 74 44
68 92 67
77 93 34
21 66 28
5 27 91
52 71 89
63 92 42
38 95 59
48 113 52
56 82 73
71 76 73
65 81 54
62 117 83
63 108 62
23 38 23
52 60 59
56 71 30
53 102 99
16 106 32
10 84 9
9 31 25
3 20 72
48 105 94
16 85 14
79 86 41
81 92 89
37 61 92
30 101 89
7 85 13
61 95 99
33 73 67
16 23 99
38 77 5
9 49 75
14 40 36
31 57 21
42 116 75
75 92 27
19 54 36
9 43 49
6 110 30
24 68 33
33 105 88
22 110 21
6 89 3
46 73 3
83 102 89
25 97 61
28 70 59
59 64 94
28 44 51
15 63 50
58 101 71
8 110 74
1 42 9
12 30 4
63 90 50
87 111 96
7 41 97
20 48 38
39 68 56
98 112 47
71 84 14
57 113 99
71 103 77
18 40 86
4 60 95
22 54 87
72 111 42
59 81 74
63 77 45
38 89 100
24 83 93
89 107 34
5 58 72
2 87 92
21 113 27
22 36 69
4 88 81
14 42 89
8 50 59
33 38 7
40 49 95
39 55 63
24 66 65
45 47 88
19 87 49
3 97 60
27 53 21
96 115 68
73 88 78
97 104 7
38 108 9
70 110 12
71 79 81
7 32 35
48 75 14
16 38 50
77 87 27
25 54 87
64 78 66
38 55 24
1 113 10
102 106 83
2 50 70
57 105 9
33 86 66
35 60 15
102 113 42
45 90 61
36 75 63
27 67 45
44 46 96
23 96 49
7 61 99
36 103 64
58 98 79
16 96 44
47 101 67
5 109 57
6 101 92
8 37 13
99 116 96
47 82 61
16 36 20
52 64 49
10 62 22
4 112 64
91 93 71
59 114 22
32 58 51
64 91 20
52 86 79
37 58 27
108 111 27
47 111 3
93 104 45
22 45 56
68 82 70
3 49 29
16 60 72
51 83 57
48 81 10
30 80 6
23 47 69
41 112 27
22 92 23
105 115 46
31 78 84
6 20 31
51 107 8
45 117 73
11 40 35
18 26 99
11 31 29
50 64 49
68 117 92
38 44 9
56 92 3
49 61 91
22 32 76
5 73 11
27 54 17
51 104 6
1 49 47
101 103 70
48 109 14
77 109 88
12 13 95
20 67 97
108 115 79
12 80 40
85 110 28
88 107 49
56 105 76
15 56 2
6 59 84
4 64 97
46 101 100
2 77 14
4 52 77
35 57 37
95 119 82
70 81 70
21 46 58
61 72 54
1 98 2
32 74 63
41 104 12
62 100 89
4 56 35
38 60 92
3 74 92
10 112 34
104 117 86
17 66 57
72 84 12
57 114 15
55 94 65
18 106 84
24 107 2
3 93 96
28 102 69
54 118 90
29 63 7
33 71 73
9 91 34
19 39 33
79 112 72
66 100 86
80 94 3
6 24 17
30 85 92
0 83 89
0 114 90
8 89 64
76 86 18
1 89 75
2 76 1
65 118 40
60 105 92
16 66 59
4 35 73
47 73 21
27 108 69
103 109 92
1 108 47
1 76 78
28 68 46
19 27 15
39 59 52
7 38 34
87 110 14
80 103 31
32 40 50
17 50 32
18 45 91
13 93 81
48 71 35
17 108 92
1 112 55
11 85 32
92 117 68
43 103 58
26 88 79
52 93 69
62 106 58
24 63 97
43 101 86
1 26 86
42 90 21
12 91 73
11 70 75
55 90 37
50 116 82
44 93 57
1 92 89
49 104 9
22 68 35
15 60 67
74 85 25
6 30 86
6 50 64
51 90 4
32 65 92
34 100 68
6 22 10
65 76 5
75 113 29
57 109 100
48 57 99
72 118 90
45 48 2
11 80 85
9 61 77
75 97 31
37 38 17
42 107 28
7 72 3
47 57 57
22 27 85
9 87 14
1 73 9
4 95 22
8 68 51
39 96 77
4 103 11
90 93 47
18 69 47
13 72 32
104 116 66
43 62 53
5 51 92
17 112 44
65 66 79
41 74 92
72 94 83
7 34 72
41 92 20
80 116 49
34 107 76
4 117 82
61 69 45
93 106 73
74 108 18
38 50 47
6 10 85
71 72 65
8 76 93
18 90 52
6 93 46
16 73 53
97 115 60
21 64 84
7 75 54
5 82 87
99 113 15
3 52 38
8 24 25
51 53 83
28 84 12
42 48 93
11 65 78
85 118 7
18 64 71
50 108 61
25 118 70
0 89 63
37 104 76
32 84 16
21 101 15
12 69 63
50 52 3
58 61 7
100 108 65
10 31 99
86 99 66
7 39 95
2 64 87
3 11 78
45 63 75
55 102 59
83 84 93
16 50 37
12 105 99
25 76 27
16 37 2
85 92 12
42 103 53
80 88 16
5 35 93
36 59 78
27 84 23
44 116 21
13 97 52
30 34 73
15 94 24
31 73 50
35 38 51
9 64 18
101 106 51
73 82 77
0 8 49
2 101 88
53 83 10
26 64 28
4 43 80
94 96 95
70 79 57
75 115 44
4 105 63
29 42 70
62 84 28
55 113 72
23 113 22
21 39 18
25 39 2
23 71 7
17 89 63
64 109 58
102 117 47
53 81 36
11 49 81
30 60 72
71 105 9
1 6 36
62 69 75
86 115 24
11 75 42
49 58 67
9 21 51
76 116 17
70 116 43
46 99 73
69 118 62
0 6 25
61 93 68
26 60 3
6 45 50
16 29 53
20 115 45
2 29 45
71 101 63
59 102 84
9 14 7
25 63 71
24 78 25
21 35 60
36 42 49
44 64 39
78 101 28
53 110 22
74 90 72
63 109 81
31 39 40
34 110 20
90 109 98
44 67 62
4 11 52
50 63 41
52 59 1
1 110 13
79 116 11
43 54 52
37 90 59
6 85 92
44 81 45
49 64 84
44 47 22
22 111 95
12 59 14
30 64 88
110 114 51
29 59 25
26 92 60
13 42 88
0 100 96
24 62 63
20 84 45
18 19 56
25 66 17
3 45 27
16 115 53
8 104 9
27 30 95
37 112 65
2 38 26
13 40 41
21 53 58
41 54 46
21 95 71
1 9 60
56 110 44
32 63 48
13 17 84
3 96 78
20 30 81
21 92 61
48 74 20
36 65 13
20 106 23
61 82 14
92 112 8
12 85 25
29 31 89
59 77 92
30 107 59
21 75 74
36 44 15
46 47 66
97 108 54
56 88 28
89 119 15
40 112 77
32 70 29
54 95 78
75 82 15
3 54 98
40 88 15
42 97 82
33 106 27
62 81 9
50 67 96
10 98 36
34 69 29
49 109 59
57 115 89
57 99 58
89 99 80
12 114 14
19 42 37
54 82 67
78 114 6
82 102 49
81 95 26
16 94 42
93 119 32
44 83 99
26 52 64
25 98 46
24 99 93
4 115 90
8 94 12
8 117 39
9 119 18
36 37 56
31 35 13
18 118 65
75 114 11
44 103 80
7 25 96
82 113 82
79 92 56
50 93 49
31 87 77
4 116 61
39 80 83
9 55 48
48 86 84
62 73 42
2 28 98
49 75 17
58 97 27
32 64 99
3 113 2
14 90 94
66 74 17
48 94 23
77 100 33
29 78 49
7 105 89
35 74 88
26 105 86
8 82 48
110 115 91
33 70 14
24 50 20
0 21 66
49 66 32
25 103 4
35 117 9
9 99 95
43 64 95
14 83 88
75 109 3
53 105 94
37 53 35
15 101 45
1 48 27
60 82 61
2 70 27
10 20 84
9 76 86
20 49 46
102 119 33
18 27 47
26 86 26
23 98 70
104 107 82
37 83 100
30 117 70
66 106 63
54 58 55
48 68 6
84 114 15
16 20 34
99 103 37
8 113 71
48 108 7
68 99 15
24 118 65
11 44 94
54 112 95
24 101 59
54 62 16
58 96 67
60 88 41
45 52 8
56 72 37
52 83 91
62 116 60
86 93 55
73 93 70
70 78 64
41 51 42
36 108 97
26 41 83
52 53 14
87 90 30
54 102 74
0 64 44
13 86 69
16 44 2
67 90 98
21 71 64
106 115 56
57 94 39
12 16 5
30 89 43
54 106 21
6 103 22
0 22 92
85 86 36
49 86 26
38 84 46
98 116 45
17 119 59
18 53 80
7 65 1
49 77 8
60 114 89
21 76 54
4 9 50
92 113 51
7 59 14
31 83 60
35 118 43
42 82 18
24 75 43
72 104 60
3 78 49
48 101 97
44 54 96
34 63 7
28 117 80
18 114 15
24 77 45
31 53 70
23 88 28
60 101 71
27 103 40
20 88 33
31 54 15
68 109 38
26 81 27
65 115 74
106 119 85
20 98 12
90 110 60
42 44 15
22 53 89
53 96 44
57 97 82
4 101 68
32 89 10
10 22 5
12 34 12
44 71 87
17 19 69
98 108 13
52 117 78
101 117 47
43 72 4
36 93 52
56 113 4
47 48 15
65 100 26
66 82 93
9 72 91
48 93 51
17 63 67
60 71 64
74 82 31
22 113 77
37 100 51
46 91 99
41 64 97
9 114 97
62 112 64
70 75 80
26 113 32
101 111 72
20 103 9
20 57 45
5 92 36
7 104 28
20 117 56
3 40 27
11 36 89
55 62 1
43 55 64
20 71 97
6 104 56
97 107 24
94 104 20
18 63 1
68 91 62
90 104 17
62 75 87
