885 60
34 38 72
8 52 24
29 41 28
19 44 88
7 23 46
9 38 71
32 37 84
1 42 31
1 43 31
17 51 22
7 34 23
5 52 76
27 32 30
16 46 90
52 59 21
0 40 67
7 50 73
20 46 43
0 5 100
24 37 61
5 37 89
41 44 2
10 15 60
9 46 65
12 31 15
23 59 51
7 45 8
11 21 14
20 55 9
20 40 98
17 34 85
18 22 44
1 31 57
16 20 29
2 50 37
36 48 29
44 51 89
19 59 66
32 42 72
46 56 79
2 29 23
3 13 64
12 29 41
3 45 84
19 54 47
41 54 12
8 10 52
30 52 22
7 48 89
2 17 53
14 58 51
11 19 38
27 57 29
23 55 9
4 38 73
2 59 76
0 51 76
46 53 9
21 27 100
9 55 49
28 39 61
15 44 18
13 39 57
20 37 71
30 48 61
41 58 39
6 37 53
3 17 79
29 32 17
23 32 89
24 28 65
5 57 33
3 22 98
28 50 3
13 53 67
28 46 66
42 50 60
13 28 5
10 51 59
3 16 67
49 52 21
22 48 96
20 52 40
13 27 29
14 38 16
26 53 78
7 49 61
46 48 80
20 22 54
15 36 65
2 31 44
5 56 79
19 21 3
11 34 39
25 57 82
30 34 48
9 28 51
5 32 83
20 36 11
12 38 47
53 58 6
50 52 42
32 38 66
31 39 25
0 45 54
24 55 47
0 35 55
8 17 71
3 19 4
39 50 39
22 54 23
48 49 20
2 23 17
43 47 70
5 27 73
17 43 95
33 49 63
22 42 80
31 46 28
2 25 14
23 58 22
51 56 48
17 40 82
0 24 74
17 45 54
10 44 25
7 20 91
21 48 95
28 53 97
2 10 40
9 24 57
33 39 72
28 29 86
18 21 44
0 50 70
26 59 62
33 36 18
32 56 80
6 44 22
34 59 25
9 21 13
50 54 41
23 44 17
8 12 79
24 53 57
29 57 13
5 47 92
11 50 63
32 41 71
17 25 69
27 49 92
6 32 62
13 35 67
30 55 24
2 13 40
27 29 32
5 25 85
9 31 34
36 53 95
32 52 42
9 18 38
13 32 33
40 50 34
9 41 75
19 57 14
11 14 56
8 32 92
30 58 62
35 48 32
41 50 86
27 35 57
37 51 23
21 29 29
35 40 53
8 41 74
21 44 69
9 39 94
8 44 28
10 56 24
26 45 15
46 51 98
21 33 36
11 22 79
3 47 79
24 26 21
19 45 20
3 31 24
26 54 94
5 59 64
3 48 88
1 15 70
18 44 80
17 44 49
14 18 75
6 23 31
29 36 98
39 49 24
23 41 62
5 12 53
30 39 100
25 48 9
14 24 76
39 56 77
4 5 68
21 41 65
32 46 34
4 36 90
5 14 6
45 51 99
26 56 7
52 57 36
40 47 75
12 28 88
41 52 87
19 50 6
17 52 89
9 50 80
8 49 68
33 56 17
26 47 19
12 34 60
12 50 40
15 34 62
34 41 81
25 44 55
9 23 90
15 46 11
17 18 39
12 37 85
12 19 65
0 36 72
14 20 4
5 41 53
24 58 39
32 53 14
46 54 68
9 34 22
34 56 73
14 43 49
0 3 41
19 20 99
19 36 48
5 17 28
11 33 100
2 4 6
10 32 38
18 31 42
14 39 100
13 30 81
22 30 77
0 38 67
24 35 30
2 21 88
43 44 46
39 54 67
14 40 66
29 48 3
44 49 60
9 22 95
14 42 16
39 40 15
21 54 52
8 24 36
39 44 23
19 40 49
41 43 94
57 59 19
3 27 1
10 47 39
30 45 21
17 55 16
7 59 80
23 34 99
23 46 57
26 57 7
9 52 76
18 33 50
27 36 10
2 42 84
5 26 61
15 25 29
16 56 16
26 31 12
5 34 6
30 37 75
9 48 41
11 15 53
19 32 52
32 40 21
5 11 86
50 51 18
7 35 16
30 33 31
50 58 89
54 55 45
5 53 48
22 53 89
8 25 85
19 41 9
37 56 33
19 49 56
33 43 99
34 55 45
12 15 62
51 53 98
18 55 73
20 21 23
44 48 78
13 18 11
30 59 75
42 55 47
6 14 51
3 46 15
20 31 96
28 54 38
24 29 45
49 59 10
15 54 71
6 16 32
35 38 13
38 43 23
46 57 43
0 47 49
16 53 76
49 56 36
