188 20
11 19 70
10 19 96
11 17 25
5 12 47
11 18 18
17 19 1
8 10 11
9 11 38
7 18 79
5 7 81
6 8 67
12 15 60
0 2 44
13 16 95
2 10 37
1 6 84
10 15 23
4 16 22
3 19 76
3 16 85
6 7 24
4 13 88
11 15 88
4 14 25
10 17 69
2 5 73
4 6 87
3 14 91
16 19 83
8 12 4
6 14 84
10 11 17
5 11 52
4 10 21
1 17 62
5 19 16
0 10 98
7 19 10
0 15 76
14 16 63
13 19 1
8 19 20
9 18 45
4 5 55
1 12 85
1 13 67
14 18 64
0 16 10
1 10 10
11 14 32
4 19 39
15 18 87
9 16 95
9 12 41
1 16 12
15 16 3
0 14 59
14 19 64
12 17 10
9 15 65
3 13 74
5 15 22
5 14 48
7 12 47
17 18 6
1 19 34
4 12 74
2 14 51
12 16 11
6 11 41
5 16 49
3 7 34
2 6 5
13 14 33
7 14 93
8 14 26
3 9 89
3 11 44
11 16 22
7 15 63
7 9 39
0 1 33
1 4 53
6 13 3
0 9 37
4 11 26
2 19 48
1 9 12
0 11 73
1 11 86
2 15 40
0 7 43
3 15 3
7 8 79
6 18 39
1 18 14
1 3 38
15 19 83
3 4 9
6 9 24
12 13 82
14 17 37
16 17 76
5 13 42
2 4 55
10 14 55
6 15 28
13 17 89
14 15 36
4 8 98
12 19 68
6 10 54
9 19 18
10 12 77
1 8 51
13 18 62
8 18 30
10 16 24
8 11 6
5 17 2
6 16 68
6 19 26
12 14 46
1 15 10
2 16 50
9 13 91
1 14 88
2 12 45
4 18 52
1 2 90
8 16 56
0 6 57
12 18 10
0 3 16
8 15 53
3 8 92
3 6 48
0 5 36
6 12 92
2 13 50
3 10 47
0 8 98
4 15 42
9 10 35
8 17 92
2 11 84
2 17 93
2 9 76
0 13 91
3 5 15
7 17 60
9 14 26
6 17 96
3 12 95
3 17 51
4 17 90
0 12 67
5 6 91
7 16 90
2 3 13
0 18 93
10 18 74
18 19 6
7 11 80
7 13 16
3 18 27
2 8 40
2 7 5
5 9 3
5 10 14
13 15 57
11 12 35
5 18 90
8 13 5
5 8 12
7 10 33
10 13 22
1 7 51
11 13 41
2 18 5
8 9 4
4 9 94
16 18 67
1 5 61
9 17 71
0 19 39
0 4 37
15 17 95
