4900 100
10 59 55
83 90 48
14 98 73
18 73 13
32 71 85
1 43 10
16 63 80
58 63 20
62 90 92
54 95 13
14 75 37
38 78 19
20 22 95
37 91 54
62 96 100
51 52 33
9 41 88
19 33 87
84 92 82
44 66 5
87 89 69
35 94 85
50 92 98
65 72 9
62 87 75
13 21 25
15 87 87
83 85 23
29 71 61
20 29 70
28 95 3
20 36 74
97 99 16
14 24 61
1 86 95
1 6 45
10 19 61
63 85 85
24 99 57
25 50 47
15 50 82
22 42 46
71 89 2
7 11 39
2 43 87
48 59 64
5 30 30
43 54 13
23 60 37
44 49 76
2 61 43
0 24 32
24 33 38
4 60 77
67 80 39
24 79 100
22 67 24
15 66 28
24 89 40
82 92 15
20 63 44
38 49 11
38 61 27
78 81 88
8 31 51
33 50 21
8 87 41
55 57 67
0 86 9
6 40 60
58 82 23
33 47 33
25 34 18
8 65 21
80 85 52
0 29 41
27 74 94
28 88 65
62 63 6
24 30 63
42 52 92
16 86 94
72 82 7
39 78 5
0 57 8
90 92 55
6 78 47
7 76 10
6 81 56
1 76 4
5 54 69
21 87 30
43 85 99
65 86 84
18 92 17
37 38 16
17 62 71
51 54 17
29 87 19
3 23 36
89 91 55
54 83 21
1 63 11
64 98 97
37 80 97
64 91 85
41 80 94
8 66 77
80 94 90
7 13 42
20 91 12
30 72 38
10 32 37
63 77 38
7 52 78
23 71 57
82 96 30
45 92 13
57 64 30
14 15 30
10 79 80
10 66 7
23 28 5
10 64 81
32 38 98
15 34 62
24 31 61
23 78 52
27 93 9
31 39 47
1 10 8
4 79 73
73 90 89
18 44 75
16 49 21
49 64 15
59 95 16
15 60 95
0 49 10
4 10 86
14 77 57
0 70 95
48 90 46
43 81 71
35 60 75
24 38 46
27 99 93
75 94 90
21 77 10
10 84 85
54 81 26
32 40 94
20 76 70
56 86 86
3 21 35
27 78 44
18 84 91
11 71 55
64 96 44
18 72 4
70 72 34
13 38 81
45 58 40
21 25 8
34 45 6
30 55 43
44 82 21
55 77 31
71 90 78
0 73 100
84 93 88
41 90 19
2 9 100
19 24 44
16 81 66
35 58 59
30 41 47
16 79 22
86 90 14
19 91 90
24 73 94
6 96 74
63 75 93
17 48 48
16 89 83
24 35 3
77 83 45
5 39 26
18 39 85
32 86 87
31 40 4
44 75 45
8 54 3
14 74 82
59 80 56
56 65 43
13 31 41
73 76 42
4 55 85
6 99 81
50 69 68
36 59 64
11 19 57
38 42 61
29 63 92
27 66 1
55 65 27
52 74 49
53 93 8
25 31 71
35 86 79
80 98 75
48 82 68
66 94 99
42 87 52
23 51 22
55 67 69
12 33 56
25 70 89
25 74 88
35 81 7
0 3 99
0 26 55
20 45 5
18 58 74
1 50 5
60 79 27
15 20 95
0 23 84
30 34 95
50 75 92
87 88 25
73 79 92
12 64 32
67 76 11
32 63 89
13 28 47
59 88 48
27 67 49
9 62 7
45 85 37
68 84 76
51 96 59
26 30 34
4 25 35
61 67 76
24 34 61
44 62 53
36 62 65
11 65 24
13 89 18
12 30 75
22 41 18
18 63 47
18 62 72
72 86 96
12 18 4
35 44 78
47 95 7
28 39 73
42 76 35
75 87 77
59 69 6
10 42 96
23 43 30
63 83 87
40 50 44
71 72 88
51 83 17
74 84 31
63 86 4
10 73 6
47 66 5
4 9 78
28 32 47
16 93 36
40 60 86
21 90 8
29 37 81
75 81 43
36 81 82
15 99 31
8 63 44
37 58 51
65 85 49
26 99 55
13 17 17
66 84 66
18 79 1
13 32 49
26 37 50
12 92 56
13 48 4
5 15 57
19 59 36
61 82 69
23 92 88
21 68 94
74 83 5
63 73 92
65 83 35
