1752 60
0 10 1
25 41 6
32 48 24
37 57 55
26 35 27
10 54 12
21 29 97
34 57 58
19 44 2
39 44 79
24 58 86
1 31 67
17 46 73
23 35 36
3 38 5
36 41 9
27 40 4
44 49 25
29 31 23
50 58 75
11 48 36
49 50 58
3 54 23
21 34 13
8 31 60
25 58 67
0 14 89
53 59 76
0 37 57
0 45 94
5 20 90
26 51 25
27 56 76
43 44 3
3 35 91
5 29 35
12 41 57
29 45 79
22 47 14
10 17 40
17 41 66
23 54 63
40 55 6
13 49 95
24 29 51
37 52 91
34 45 59
18 49 63
52 55 62
30 58 51
47 49 35
14 58 55
9 39 82
9 43 6
42 51 70
39 50 78
14 54 32
24 46 9
42 47 93
18 54 11
5 33 33
4 53 88
38 45 18
20 31 25
3 17 36
34 56 1
9 36 92
18 42 21
17 32 35
27 54 15
25 45 43
2 6 2
3 53 19
2 3 67
25 32 49
6 17 23
13 57 57
35 46 60
26 49 71
4 9 93
8 24 25
8 53 3
43 54 86
6 42 89
29 55 99
7 12 41
11 18 69
25 56 95
20 42 95
20 43 61
15 37 55
44 56 56
2 10 22
8 38 83
9 32 98
38 41 35
13 21 97
18 29 12
9 11 76
2 17 40
11 13 35
39 52 80
38 43 24
31 43 44
36 44 62
28 35 25
0 29 15
40 53 59
33 43 48
13 22 87
35 48 82
7 50 90
22 28 17
39 51 84
30 44 72
18 32 88
23 53 52
1 39 38
24 41 34
6 9 22
31 37 68
20 46 41
8 33 4
2 43 14
8 12 17
5 6 2
25 33 52
7 57 78
31 55 53
6 27 85
33 44 25
7 44 45
51 52 56
37 56 85
8 26 24
7 40 56
4 5 62
12 16 81
15 25 23
34 43 74
38 48 38
8 14 62
2 33 56
5 38 36
35 36 26
12 51 2
44 55 31
20 41 97
1 55 35
18 40 29
13 54 31
0 20 97
45 57 72
17 27 41
44 54 74
16 49 4
21 22 21
15 21 1
14 35 4
20 28 27
46 54 89
2 45 7
39 55 21
36 55 59
24 44 93
5 53 77
12 28 30
46 50 76
4 44 55
10 25 43
1 47 29
17 33 27
13 26 52
12 30 37
6 12 1
0 1 67
7 30 99
4 33 79
10 26 31
19 39 72
6 8 98
18 26 76
41 48 13
30 55 17
4 45 14
28 43 53
13 24 79
0 32 31
7 35 79
2 29 8
24 38 30
1 54 80
1 24 24
36 47 48
3 22 30
30 42 33
25 46 25
50 52 25
0 57 14
14 33 92
16 31 17
19 24 53
45 46 11
35 49 75
25 50 80
16 37 53
13 23 63
25 51 74
0 35 48
41 57 68
10 46 96
24 54 97
20 52 52
19 52 57
29 47 83
15 26 84
15 18 33
49 56 16
22 30 7
14 50 71
34 58 96
0 26 80
11 50 33
26 36 22
16 38 84
13 48 73
42 56 57
3 48 60
9 19 84
3 49 86
1 42 47
5 35 5
7 29 16
34 53 46
57 58 29
9 59 17
34 55 30
6 35 100
36 45 81
10 32 56
24 48 68
9 17 22
2 32 79
9 29 96
8 51 65
36 57 65
5 41 15
15 59 75
20 59 87
16 52 61
10 11 26
22 45 61
8 47 31
5 27 51
10 59 47
5 55 60
9 56 52
17 44 70
16 26 4
18 48 34
45 49 41
29 34 81
29 59 38
7 19 8
8 25 56
2 48 24
22 23 2
23 46 84
32 46 78
26 46 29
0 17 65
15 39 92
15 29 91
19 56 52
35 55 87
24 26 84
34 51 85
4 6 32
37 40 43
22 54 67
1 4 60
8 22 10
17 35 12
3 41 99
17 47 100
16 41 3
21 36 53
21 53 70
12 21 84
42 49 75
39 41 38
43 56 35
15 55 78
24 28 33
29 35 80
6 19 88
15 22 87
42 44 22
29 58 3
28 30 28
46 47 10
12 20 79
31 36 88
9 58 34
26 38 24
7 38 80
35 52 17
9 52 23
10 35 82
50 57 54
27 45 100
16 43 30
36 50 25
1 41 28
40 59 31
14 44 90
47 50 55
2 42 33
36 54 19
14 37 31
8 29 58
40 41 68
23 44 67
12 57 4
6 55 26
2 53 8
4 10 39
13 34 52
45 54 16
11 59 25
6 56 39
16 27 92
31 33 87
18 36 58
16 42 54
31 42 69
10 36 80
38 53 30
24 30 94
11 40 65
33 53 13
3 4 31
3 16 91
35 54 25
2 31 69
18 53 8
49 55 25
14 52 54
10 42 77
15 32 15
15 40 22
16 17 98
30 34 33
7 51 72
3 9 98
30 48 70
1 23 86
32 50 61
14 24 13
12 59 84
7 45 70
13 35 23
29 56 21
23 47 66
12 38 85
3 6 9
32 58 5
42 43 96
33 52 75
30 57 41
43 49 52
56 59 26
6 25 36
15 24 62
15 56 88
26 42 21
8 13 55
7 34 30
18 35 8
14 30 6
39 40 15
9 45 28
10 58 7
25 37 21
50 59 41
7 15 49
49 52 53
4 32 36
9 31 22
22 36 42
2 13 31
24 53 92
16 18 46
22 57 7
14 26 47
22 33 5
45 59 8
31 35 59
12 43 80
11 24 83
30 53 72
4 40 47
40 44 6
13 47 86
31 51 19
33 51 38
18 44 28
6 11 46
6 22 97
16 57 74
6 53 53
9 55 37
7 41 22
8 21 75
10 43 31
0 43 5
18 55 81
0 49 68
3 12 23
4 52 10
27 48 27
48 52 67
31 49 85
9 41 23
23 28 65
11 14 94
33 38 50
11 21 5
18 31 80
22 52 5
38 54 14
36 52 98
3 34 50
4 41 53
18 22 38
5 47 4
6 20 22
27 51 36
3 23 53
29 38 76
47 56 41
21 55 10
55 57 21
33 47 96
30 36 22
10 12 99
19 54 30
7 33 69
48 49 92
11 17 10
6 14 11
23 37 91
31 47 33
22 24 6
39 58 89
21 44 97
47 53 1
26 47 58
51 55 6
13 53 38
47 54 46
12 24 94
22 34 98
16 35 37
32 53 16
26 45 56
0 22 64
10 23 52
28 59 38
16 32 88
5 36 50
21 28 81
12 23 97
45 47 55
16 55 61
28 44 53
23 51 16
3 24 55
27 32 99
13 37 13
10 29 97
48 54 1
22 38 88
9 35 43
13 52 13
0 16 47
36 39 90
2 14 15
17 19 6
25 40 35
26 30 96
8 55 47
25 49 78
8 54 45
26 29 94
1 20 72
51 53 2
28 32 85
22 42 79
18 39 36
4 30 70
40 52 84
13 59 65
41 42 46
43 50 72
40 46 56
2 40 55
19 46 61
25 34 58
5 12 58
13 56 48
16 59 43
7 36 26
27 34 31
8 32 86
41 44 87
27 31 31
3 59 97
11 56 7
6 48 49
2 15 91
48 58 54
30 40 60
1 56 39
1 12 51
3 14 96
2 46 31
33 45 4
31 46 98
27 52 93
35 37 53
15 41 28
10 50 3
4 56 82
2 23 78
42 52 1
1 8 86
1 52 5
2 7 32
19 20 10
7 9 47
29 50 11
18 27 9
15 31 99
33 34 20
0 36 25
9 51 74
25 43 38
32 36 7
45 58 85
58 59 3
32 59 71
28 52 75
8 44 23
5 28 79
48 59 82
11 19 18
29 33 70
7 53 8
5 58 64
17 21 93
17 50 77
1 19 35
11 52 7
6 37 8
32 56 48
48 55 60
26 34 54
5 21 98
27 49 72
1 35 43
4 21 72
19 28 50
37 46 49
12 52 23
37 42 30
13 43 30
5 30 31
0 41 7
7 47 3
37 39 25
6 29 63
1 58 26
6 43 38
21 58 27
10 33 8
0 59 88
23 31 89
25 59 55
17 38 45
10 56 45
25 26 94
27 59 72
4 24 53
23 57 76
27 35 58
14 18 8
13 33 99
47 48 64
5 17 19
11 44 17
9 22 43
28 45 66
4 38 76
3 18 48
5 23 15
43 51 66
42 46 76
32 33 80
15 45 31
24 45 77
2 24 62
14 51 13
26 32 65
47 55 63
46 59 73
1 34 17
33 35 29
7 58 86
14 42 75
47 52 40
8 58 30
12 56 63
22 56 23
0 34 42
9 57 62
22 50 67
49 51 96
20 33 9
3 42 86
10 39 57
2 39 22
33 40 49
6 31 20
24 34 26
19 38 14
45 55 54
37 48 63
15 51 17
10 19 61
5 9 4
1 7 9
3 11 5
14 15 72
11 45 34
41 49 22
37 51 84
6 39 44
18 25 55
51 57 31
6 28 81
8 18 7
2 25 58
18 21 69
21 31 83
1 33 87
2 56 61
30 49 23
1 15 29
43 55 100
29 37 9
32 37 11
21 48 56
1 16 28
44 46 14
26 57 64
8 39 30
32 54 28
27 46 3
27 55 54
34 39 78
7 14 49
54 57 65
22 48 1
16 40 43
12 58 94
3 7 73
45 56 75
28 42 22
41 53 50
9 48 77
29 52 6
36 42 12
20 53 98
18 57 74
10 55 30
10 34 10
1 40 90
37 50 15
10 53 2
14 36 7
47 58 25
23 40 62
11 34 93
19 41 16
56 58 79
46 52 3
0 39 93
1 46 64
13 36 6
38 55 89
11 41 27
26 59 61
50 56 74
38 59 56
5 43 55
16 47 71
7 48 12
21 33 6
9 54 16
6 15 49
5 7 57
16 28 69
12 42 55
11 32 62
15 38 69
12 26 55
10 22 43
23 30 8
35 45 11
32 55 63
30 50 9
19 48 68
38 39 58
30 46 63
1 44 75
28 57 41
45 53 77
20 37 99
7 24 23
40 56 69
19 49 56
15 43 18
24 57 62
31 56 85
5 37 87
15 44 19
17 28 2
0 21 51
16 29 6
53 56 22
14 48 42
22 27 5
12 18 35
29 53 64
0 2 100
15 27 94
11 31 61
33 48 49
27 43 32
25 54 86
14 53 83
21 45 32
7 20 15
20 22 58
46 49 58
0 8 39
22 59 41
13 15 3
11 25 35
22 35 69
29 43 54
26 52 56
26 28 66
19 45 84
15 58 61
10 40 82
5 24 56
17 37 2
0 25 19
18 45 23
49 59 90
21 30 40
20 54 47
12 31 97
8 57 76
1 25 29
8 19 27
4 47 89
14 20 61
6 50 56
17 26 2
25 27 39
17 36 55
18 59 51
14 21 32
0 54 16
14 31 98
7 16 95
4 39 14
20 25 46
20 57 39
28 33 54
1 59 67
20 56 65
30 32 16
55 59 3
35 57 37
0 44 28
18 37 87
7 26 53
28 58 82
17 20 90
11 57 75
4 50 73
1 14 58
9 16 52
25 30 75
24 55 6
22 39 6
12 33 43
39 56 13
9 33 18
5 11 42
1 26 96
0 55 50
34 46 66
8 50 68
3 26 19
33 57 98
24 27 12
30 54 2
44 58 93
27 29 13
26 37 3
22 41 5
11 53 45
40 57 83
5 46 37
35 50 48
20 27 94
11 16 38
29 40 65
4 59 97
40 48 90
32 43 70
23 29 18
12 19 97
28 53 1
18 19 18
41 43 19
19 22 19
4 37 65
9 50 18
23 58 37
0 7 35
14 39 41
44 45 78
2 34 92
6 47 10
42 58 89
3 36 70
52 59 83
13 44 85
21 56 26
6 16 66
39 42 45
34 42 41
13 27 85
41 52 14
42 54 17
20 34 26
43 57 7
28 39 17
20 49 19
30 33 40
31 53 99
18 33 93
2 4 76
24 56 15
17 52 58
2 16 55
16 21 50
10 37 46
17 22 28
0 30 4
26 40 58
14 55 72
8 56 53
51 56 67
11 58 93
8 17 78
1 30 83
29 51 52
6 51 26
19 34 73
8 23 17
19 26 67
13 25 31
15 33 28
37 43 29
34 38 1
13 46 18
11 38 29
48 56 53
9 30 14
19 23 15
27 36 53
10 48 94
28 46 64
48 51 25
0 33 89
44 50 18
1 29 65
32 41 13
25 53 58
23 55 97
16 51 71
32 51 80
20 44 32
23 56 23
36 38 18
44 51 12
42 57 8
19 37 44
25 44 34
43 58 70
21 32 70
