4865 140
93 107 86
49 83 60
31 77 59
37 117 34
0 59 41
53 114 92
37 109 40
81 95 4
45 130 80
80 85 83
27 38 64
48 106 68
89 99 39
75 121 11
122 138 35
13 120 76
6 66 86
38 119 81
2 86 15
12 56 15
28 104 34
70 133 18
103 124 83
1 26 5
39 77 60
88 139 38
26 111 34
78 92 98
50 88 32
69 81 24
7 81 86
97 103 27
54 78 12
48 118 2
0 44 6
39 87 100
5 61 28
14 128 28
49 98 48
60 105 46
53 90 18
2 15 25
24 35 47
47 73 68
11 57 66
3 9 88
3 6 84
71 114 38
24 128 51
33 43 97
13 131 71
41 129 14
74 101 72
53 113 35
101 103 76
110 133 16
11 108 100
83 113 11
73 126 76
19 46 28
133 137 61
16 51 43
46 111 13
23 124 88
14 112 19
31 127 45
29 104 94
97 119 98
35 55 16
54 111 92
78 93 96
68 125 50
30 72 83
49 50 45
31 89 9
40 118 21
42 101 32
29 81 83
109 138 97
30 57 65
79 87 7
94 123 45
3 54 73
15 71 40
14 54 18
58 94 87
34 57 23
35 104 75
103 134 6
64 122 4
35 115 12
57 89 65
5 63 24
118 135 61
66 120 89
100 128 14
19 73 99
2 123 90
35 62 86
6 107 9
52 124 4
2 103 97
26 35 91
35 38 26
60 130 61
3 124 18
12 121 98
14 85 90
51 102 43
18 24 90
42 64 8
101 114 23
84 118 57
96 104 40
50 62 76
93 131 83
112 134 62
65 71 94
27 90 58
41 89 72
25 133 80
5 126 27
56 108 36
57 86 57
43 127 64
67 136 46
25 99 8
112 115 60
19 50 28
82 118 42
51 57 44
80 113 23
27 119 80
8 68 9
83 98 65
32 61 97
116 117 97
2 38 11
59 61 89
16 108 97
7 72 42
58 114 71
135 138 81
44 72 65
12 125 30
67 128 65
24 127 95
24 119 14
25 124 6
0 36 23
67 90 19
43 66 78
60 69 96
102 134 52
86 87 49
27 36 100
17 69 8
29 101 28
77 85 61
80 81 11
29 52 65
88 101 78
42 70 4
16 97 16
96 109 96
35 61 75
8 47 89
113 129 60
52 127 99
123 125 70
7 51 33
54 69 6
122 131 30
31 91 54
89 124 15
12 75 6
37 91 22
2 57 92
45 73 53
42 95 60
56 92 60
45 50 2
35 79 81
3 43 63
59 102 100
11 23 17
27 131 39
49 90 79
4 26 3
108 112 71
82 107 61
28 81 69
64 119 9
52 93 36
9 40 88
93 96 79
90 129 23
43 130 68
83 117 57
53 119 27
10 124 91
41 73 74
3 34 61
114 126 41
41 121 77
3 44 75
82 89 25
7 38 3
20 132 91
28 80 97
24 89 87
