195 40
6 25 53
10 34 74
20 35 80
12 25 77
5 22 58
1 10 70
3 12 47
8 28 50
24 25 43
13 22 79
9 18 9
14 19 33
15 36 55
0 12 31
14 35 69
30 39 24
11 26 96
3 37 30
8 34 80
5 28 77
9 23 98
11 35 79
28 35 79
1 8 78
7 36 77
22 36 84
14 36 44
7 25 83
2 13 68
10 26 41
14 26 33
8 30 96
24 36 69
20 33 53
11 15 28
26 35 8
1 29 41
20 26 57
13 39 48
16 18 58
5 24 81
1 30 35
12 28 78
18 34 27
4 31 82
22 28 33
12 26 9
19 22 32
13 27 29
25 30 16
5 37 33
18 39 53
13 24 46
2 28 7
2 6 70
22 32 93
7 21 89
4 7 24
3 26 47
17 26 81
11 38 41
14 30 8
26 36 44
0 31 8
24 33 64
9 12 30
20 39 19
35 37 68
19 38 69
6 37 20
0 14 64
3 11 90
22 34 1
0 21 35
22 27 84
27 28 61
6 10 11
4 15 89
16 17 1
0 18 57
6 30 31
10 13 14
19 26 20
4 9 20
2 18 69
11 36 84
9 21 95
4 8 35
16 38 59
0 2 1
17 39 58
3 31 52
13 35 78
25 31 20
26 31 49
6 27 58
6 19 13
3 23 45
9 39 66
2 3 98
19 36 8
3 28 65
17 29 30
4 14 8
14 21 4
17 37 77
3 27 11
6 35 91
1 18 64
17 23 95
29 39 9
18 22 46
30 38 92
8 14 22
20 37 29
6 14 29
27 32 13
0 13 30
3 7 19
21 33 23
7 30 12
37 39 52
3 18 78
8 22 69
20 23 54
33 37 26
14 34 98
13 32 50
19 37 56
20 27 25
22 37 83
5 34 58
0 1 37
0 37 63
15 19 60
14 17 78
15 18 46
23 26 27
23 28 29
16 23 48
5 11 8
30 37 17
5 35 39
11 27 6
5 26 22
28 32 94
2 24 38
16 36 34
16 19 16
11 31 35
12 15 93
15 25 14
24 32 82
30 35 58
13 30 55
16 37 34
8 25 96
23 37 23
1 25 39
6 15 3
1 4 33
6 18 26
4 18 55
2 31 11
24 26 19
6 11 91
16 25 75
32 33 47
33 36 97
27 29 15
20 29 54
14 16 66
4 19 2
6 34 86
15 27 28
6 32 44
34 37 39
32 34 1
2 11 80
3 32 78
21 28 96
10 11 12
14 33 85
4 26 57
13 34 60
17 36 58
3 4 53
18 30 31
20 34 77
36 38 44
7 35 68
2 27 49
0 3 32
31 38 2
0 38 59
