7068 120
17 117 80
2 30 33
3 76 48
66 72 61
41 111 50
16 45 59
12 70 37
7 72 85
58 114 9
28 105 33
24 45 61
89 105 46
46 109 32
64 82 39
21 27 50
100 119 89
87 103 72
14 58 66
3 21 7
38 100 30
13 80 26
1 36 2
6 12 79
12 90 77
60 114 53
37 75 79
44 106 58
32 57 7
69 82 6
69 97 6
43 114 81
32 82 14
23 99 63
41 107 70
19 104 59
51 84 50
43 116 64
37 112 37
59 95 70
14 99 22
85 115 7
3 37 86
92 112 88
6 60 30
18 23 65
3 68 22
69 70 29
12 27 74
30 104 87
95 105 59
61 93 90
39 51 48
26 78 80
36 102 38
111 115 19
41 110 39
11 43 13
22 108 50
14 97 91
84 100 90
93 119 7
8 13 97
40 56 39
61 67 38
23 94 78
54 106 56
82 103 56
58 81 64
113 114 33
26 56 37
9 52 60
50 66 77
15 49 58
3 101 65
31 73 41
15 59 98
65 98 19
8 25 60
11 74 33
22 48 89
94 97 24
82 114 64
21 32 82
9 34 67
66 99 38
7 33 80
50 108 30
59 94 44
105 115 90
4 58 89
29 66 45
3 31 46
50 80 20
44 83 50
72 81 60
16 58 45
57 117 77
20 109 29
45 57 32
88 99 19
15 81 64
50 65 54
0 81 92
42 88 34
83 96 24
9 99 60
68 74 80
102 104 83
104 110 23
42 84 17
0 93 25
15 27 46
22 111 70
64 104 79
10 54 1
7 25 50
31 75 74
48 63 34
29 57 16
9 38 83
11 28 41
28 30 95
3 108 37
13 42 81
61 109 17
53 56 26
4 90 64
23 58 60
74 80 99
16 108 93
8 36 53
8 30 38
49 101 89
26 109 76
51 97 66
6 88 18
28 119 3
30 108 49
27 68 65
22 26 9
20 58 93
34 115 68
4 30 88
57 75 1
15 42 86
48 113 61
27 75 41
44 77 55
11 62 7
8 59 35
62 85 22
90 97 74
5 46 44
46 87 88
12 111 18
20 73 16
18 28 33
20 80 99
29 30 20
29 44 26
17 46 28
112 115 72
59 97 39
113 118 82
78 83 58
48 65 13
38 119 37
53 69 36
9 92 32
53 73 69
28 62 89
24 99 10
9 51 43
15 79 22
26 119 12
26 86 83
74 118 1
45 68 41
35 106 41
83 92 59
27 62 85
32 91 23
82 95 86
61 94 20
54 90 10
96 114 78
30 91 63
67 71 10
56 78 97
101 111 90
2 5 94
12 55 41
15 41 54
61 84 41
15 107 47
18 85 34
22 46 10
52 113 2
35 66 98
2 4 1
54 60 3
37 77 43
33 60 60
5 81 33
47 106 57
29 36 88
61 63 3
32 86 60
36 64 85
6 14 82
4 38 92
73 111 33
55 56 65
23 78 12
45 114 10
45 53 64
26 31 11
77 80 10
24 27 11
20 97 20
12 116 16
17 98 95
61 74 97
35 60 8
48 85 62
50 98 20
6 19 71
37 85 51
75 91 51
36 69 9
14 90 62
37 117 89
16 77 20
25 34 47
3 112 68
11 31 67
52 80 37
33 117 2
24 48 40
45 69 56
13 115 38
83 99 30
4 62 27
96 118 15
23 79 11
8 116 67
7 117 35
36 98 86
11 24 23
16 35 92
66 107 94
0 40 56
86 116 23
16 84 19
43 92 58
72 103 99
41 76 19
6 9 29
7 107 23
26 62 20
19 86 75
89 94 17
50 58 86
114 118 43
89 96 9
100 103 64
51 96 57
20 76 47
65 80 84
52 70 48
13 54 42
12 113 34
44 89 71
20 84 64
44 87 32
85 101 25
61 86 91
27 53 69
2 71 57
40 60 79
19 63 70
65 97 64
92 115 30
9 113 72
30 90 18
59 82 46
51 66 85
65 117 7
74 82 1
37 111 54
26 61 50
61 69 34
2 84 86
66 70 96
94 119 1
110 114 15
20 81 85
23 84 41
16 81 12
11 41 20
35 37 52
0 114 56
4 54 28
89 110 88
27 80 28
27 104 97
41 53 63
17 113 77
35 108 39
13 56 40
95 97 96
5 103 33
99 112 1
46 64 41
62 91 24
52 101 30
24 35 30
5 85 86
41 80 96
4 67 81
52 114 16
60 101 43
34 51 48
75 115 57
37 78 83
19 90 97
5 40 27
28 69 17
25 53 49
42 47 39
39 115 49
68 70 35
28 90 58
39 67 85
8 84 99
52 88 9
23 107 1
90 117 16
82 97 84
89 119 28
3 20 88
32 50 22
36 112 23
75 98 26
36 42 37
7 110 15
17 20 21
37 103 94
90 108 69
22 115 75
81 100 75
73 75 64
37 116 49
7 100 71
98 113 86
70 96 31
1 26 8
51 85 95
10 88 16
44 57 24
12 51 52
6 89 83
